CMD: ./SMHasher3 mum1.exact.unroll1 --test=SeedDifferential --extra
--- Testing mum1.exact.unroll1 "Mum-hash v1, unroll 2^1, exact mult"

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-64 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-64.

Default tier: 2^24 seeds per pair
  1024  ~w3~w4                 0 / 2^24     < -24.0
  1024  ~w2                    0 / 2^24     < -24.0
  1024  ~w3                    0 / 2^24     < -24.0

Extended tier: 2^30 seeds per pair on the first-fold pairs and the 32-byte interior pairs
   len  differential   collisions / seeds     log2 rate
    32  ~w0~w1                 0 / 2^30     < -30.0
    32  ~w0                    0 / 2^30     < -30.0
    32  ~w1~w2         556493908 / 2^30        -0.9   !!!!!
    32  ~w2~w3        1073741824 / 2^30         0.0   !!!!!
    64  ~w0~w1                 0 / 2^30     < -30.0
    64  ~w0                    0 / 2^30     < -30.0
   128  ~w0~w1        1073741824 / 2^30         0.0   !!!!!
   128  ~w0              3637180 / 2^30        -8.2   !!!!!
   240  ~w0~w1                 0 / 2^30     < -30.0
   240  ~w0                    0 / 2^30     < -30.0

*********FAIL*********

Verification value is 0x00000001 - Testing took 92.617643 seconds

real 92.95
user 292.34
sys 0.88
EXIT 0
